president,subgroup,approve,disapprove,timestamp
Joe Biden,All polls,43.108745,51.484995,2023/2/14 9:24
Joe Biden,Adults,41.936438,51.961281,2023/2/14 9:24
Joe Biden,Voters,44.082005,51.018149,2023/2/14 9:25
Joe Biden,All polls,42.822155,52.040133,2023/2/13 19:23
Joe Biden,Adults,41.936438,51.961281,2023/2/13 19:24
Joe Biden,Voters,43.852068,51.581183,2023/2/13 19:24
Joe Biden,All polls,42.740868,52.055951,2023/2/13 9:06
Joe Biden,Adults,41.936438,51.961281,2023/2/13 9:06
Joe Biden,Voters,44.009327,51.471562,2023/2/13 9:07
Joe Biden,All polls,42.740868,52.055951,2023/2/11 19:56
Joe Biden,Adults,41.936438,51.961281,2023/2/11 19:57
Joe Biden,Voters,44.009327,51.471562,2023/2/11 19:57
Joe Biden,All polls,42.789057,52.053734,2023/2/10 16:23
Joe Biden,Adults,42.024637,51.942385,2023/2/10 16:24
Joe Biden,Voters,43.95297,51.39574,2023/2/10 16:24
Joe Biden,All polls,42.74705,52.01193,2023/2/9 9:30
Joe Biden,Adults,42.119161,51.751133,2023/2/9 9:31
Joe Biden,Voters,43.859012,51.472674,2023/2/9 9:31
Joe Biden,All polls,42.883534,51.888478,2023/2/8 14:10
Joe Biden,Adults,42.481211,51.543344,2023/2/8 14:11
Joe Biden,Voters,43.835248,51.451616,2023/2/8 14:11
Joe Biden,All polls,43.195307,52.205662,2023/2/7 9:16
Joe Biden,Adults,43.242828,51.825647,2023/2/7 9:16
Joe Biden,Voters,43.760883,51.549947,2023/2/7 9:17
Joe Biden,All polls,43.195171,52.279641,2023/2/6 11:57
Joe Biden,Adults,43.242828,51.825647,2023/2/6 11:57
Joe Biden,Voters,43.742387,51.645397,2023/2/6 11:58
Joe Biden,All polls,42.457462,53.026865,2023/2/5 14:14
Joe Biden,Adults,42.146337,53.037062,2023/2/5 14:15
Joe Biden,Voters,43.647491,51.677182,2023/2/5 14:16
Joe Biden,All polls,41.974185,52.721126,2023/2/5 14:15
Joe Biden,Adults,41.194229,52.680292,2023/2/5 14:15
Joe Biden,Voters,43.573252,51.635286,2023/2/5 14:16
Joe Biden,All polls,41.974185,52.721126,2023/2/3 13:31
Joe Biden,Adults,41.194229,52.680292,2023/2/3 13:31
Joe Biden,Voters,43.573252,51.635286,2023/2/3 13:32
Joe Biden,All polls,41.933508,52.936785,2023/2/2 9:13
Joe Biden,Adults,41.194229,52.680292,2023/2/2 9:13
Joe Biden,Voters,43.639829,51.812552,2023/2/2 9:14
Joe Biden,All polls,42.298836,52.596577,2023/2/1 19:09
Joe Biden,Adults,41.788456,52.018684,2023/2/1 19:09
Joe Biden,Voters,43.665925,51.875259,2023/2/1 19:10
Joe Biden,All polls,42.06627,52.957234,2023/1/31 14:14
Joe Biden,Adults,41.614449,52.819664,2023/1/31 14:14
Joe Biden,Voters,43.264064,52.072317,2023/1/31 14:15
Joe Biden,All polls,42.343079,52.428168,2023/1/30 17:41
Joe Biden,Adults,42.049548,52.036086,2023/1/30 17:41
Joe Biden,Voters,43.245543,51.98985,2023/1/30 17:42
Joe Biden,All polls,42.165108,53.077204,2023/1/29 13:34
Joe Biden,Adults,41.572586,53.123428,2023/1/29 13:35
Joe Biden,Voters,42.898683,52.781657,2023/1/29 13:36
Joe Biden,All polls,41.641627,52.81726,2023/1/29 13:35
Joe Biden,Adults,40.40847,52.818309,2023/1/29 13:35
Joe Biden,Voters,42.898683,52.781657,2023/1/29 13:36
Joe Biden,All polls,41.641627,52.81726,2023/1/27 10:07
Joe Biden,Adults,40.40847,52.818309,2023/1/27 10:07
Joe Biden,Voters,42.898683,52.781657,2023/1/27 10:08
Joe Biden,All polls,41.985282,52.389091,2023/1/26 14:54
Joe Biden,Adults,40.39156,52.688787,2023/1/26 14:54
Joe Biden,Voters,43.464132,52.325826,2023/1/26 14:55
Joe Biden,All polls,42.052846,52.163878,2023/1/25 17:57
Joe Biden,Adults,40.553028,52.282202,2023/1/25 17:57
Joe Biden,Voters,43.421998,52.185623,2023/1/25 17:58
Joe Biden,All polls,42.330626,52.047828,2023/1/24 10:31
Joe Biden,Adults,40.680811,52.183786,2023/1/24 10:31
Joe Biden,Voters,43.594156,52.07879,2023/1/24 10:32
Joe Biden,All polls,42.215988,52.279507,2023/1/23 18:35
Joe Biden,Adults,40.680811,52.183786,2023/1/23 18:35
Joe Biden,Voters,43.64431,52.218447,2023/1/23 18:36
Joe Biden,All polls,42.245247,52.170639,2023/1/23 9:12
Joe Biden,Adults,40.790389,51.843123,2023/1/23 9:13
Joe Biden,Voters,43.914978,51.872563,2023/1/23 9:14
Joe Biden,All polls,42.245247,52.170639,2023/1/23 9:12
Joe Biden,Adults,40.790389,51.843123,2023/1/23 9:13
Joe Biden,Voters,43.914978,51.872563,2023/1/23 9:14
Joe Biden,All polls,42.245247,52.170639,2023/1/20 18:06
Joe Biden,Adults,40.790389,51.843123,2023/1/20 18:06
Joe Biden,Voters,43.914978,51.872563,2023/1/20 18:07
Joe Biden,All polls,43.391838,51.317973,2023/1/19 9:18
Joe Biden,Adults,41.773073,51.452222,2023/1/19 9:18
Joe Biden,Voters,44.936168,50.801606,2023/1/19 9:19
Joe Biden,All polls,43.622203,50.961083,2023/1/18 19:29
Joe Biden,Adults,42.137369,51.167534,2023/1/18 19:29
Joe Biden,Voters,45.635153,50.16528,2023/1/18 19:30
Joe Biden,All polls,43.881583,51.058264,2023/1/17 14:20
Joe Biden,Adults,42.718299,51.359261,2023/1/17 14:20
Joe Biden,Voters,45.879041,49.866828,2023/1/17 14:21
Joe Biden,All polls,43.910414,50.992584,2023/1/17 9:51
Joe Biden,Adults,42.677012,51.232738,2023/1/17 9:53
Joe Biden,Voters,45.855757,49.96043,2023/1/17 9:53
Joe Biden,All polls,43.892604,50.935695,2023/1/17 9:51
Joe Biden,Adults,42.677012,51.232738,2023/1/17 9:53
Joe Biden,Voters,45.819754,49.947382,2023/1/17 9:54
Joe Biden,All polls,43.892604,50.935695,2023/1/17 9:52
Joe Biden,Adults,42.677012,51.232738,2023/1/17 9:53
Joe Biden,Voters,45.819754,49.947382,2023/1/17 9:54
Joe Biden,All polls,43.898231,50.967179,2023/1/13 9:09
Joe Biden,Adults,42.677422,51.236356,2023/1/13 9:09
Joe Biden,Voters,45.817573,49.989173,2023/1/13 9:10
Joe Biden,All polls,43.911367,50.94821,2023/1/12 16:40
Joe Biden,Adults,42.677422,51.236356,2023/1/12 16:40
Joe Biden,Voters,45.98073,50.004535,2023/1/12 16:41
Joe Biden,All polls,44.121325,50.933124,2023/1/11 17:04
Joe Biden,Adults,42.996317,51.210214,2023/1/11 17:04
Joe Biden,Voters,45.944671,50.061303,2023/1/11 17:05
Joe Biden,All polls,43.737318,51.500024,2023/1/10 15:13
Joe Biden,Adults,42.454619,52.014016,2023/1/10 15:13
Joe Biden,Voters,45.289961,50.555228,2023/1/10 15:14
Joe Biden,All polls,43.784748,51.531046,2023/1/9 12:07
Joe Biden,Adults,42.526295,51.967009,2023/1/9 12:07
Joe Biden,Voters,45.274736,50.57943,2023/1/9 12:08
Joe Biden,All polls,43.496804,51.043237,2023/1/9 9:23
Joe Biden,Adults,41.762216,51.125711,2023/1/9 9:24
Joe Biden,Voters,45.285945,50.638684,2023/1/9 9:24
Joe Biden,All polls,43.496804,51.043237,2023/1/9 9:23
Joe Biden,Adults,41.762216,51.125711,2023/1/9 9:24
Joe Biden,Voters,45.285945,50.638684,2023/1/9 9:25
Joe Biden,All polls,43.496804,51.043237,2023/1/6 10:55
Joe Biden,Adults,41.762216,51.125711,2023/1/6 10:55
Joe Biden,Voters,45.285945,50.638684,2023/1/6 10:56
Joe Biden,All polls,43.446085,51.069539,2023/1/5 9:11
Joe Biden,Adults,41.762216,51.125711,2023/1/5 9:11
Joe Biden,Voters,45.232451,50.685561,2023/1/5 9:12
Joe Biden,All polls,43.485788,50.916869,2023/1/4 11:51
Joe Biden,Adults,42.018607,50.75017,2023/1/4 11:51
Joe Biden,Voters,45.197009,50.62797,2023/1/4 11:52
Joe Biden,All polls,43.409292,51.326126,2023/1/3 9:13
Joe Biden,Adults,41.503482,51.691,2023/1/3 9:15
Joe Biden,Voters,45.036902,50.780904,2023/1/3 9:16
Joe Biden,All polls,43.341095,51.324246,2023/1/3 9:14
Joe Biden,Adults,41.503482,51.691,2023/1/3 9:15
Joe Biden,Voters,44.982606,50.758402,2023/1/3 9:16
Joe Biden,All polls,43.341095,51.324246,2023/1/3 9:14
Joe Biden,Adults,41.503482,51.691,2023/1/3 9:16
Joe Biden,Voters,44.982606,50.758402,2023/1/3 9:16
Joe Biden,All polls,43.341095,51.324246,2023/1/3 9:15
Joe Biden,Adults,41.503482,51.691,2023/1/3 9:16
Joe Biden,Voters,44.982606,50.758402,2023/1/3 9:17
Joe Biden,All polls,43.341095,51.324246,2022/12/30 9:41
Joe Biden,Adults,41.503482,51.691,2022/12/30 9:41
Joe Biden,Voters,44.982606,50.758402,2022/12/30 9:42
Joe Biden,All polls,43.234131,51.435431,2022/12/29 9:22
Joe Biden,Adults,41.503482,51.691,2022/12/29 9:22
Joe Biden,Voters,44.876782,50.870483,2022/12/29 9:23
Joe Biden,All polls,43.266939,51.409413,2022/12/28 9:40
Joe Biden,Adults,41.646431,51.475027,2022/12/28 9:40
Joe Biden,Voters,44.817747,50.945489,2022/12/28 9:41
Joe Biden,All polls,43.291399,51.387921,2022/12/27 9:13
Joe Biden,Adults,41.646431,51.475027,2022/12/27 9:15
Joe Biden,Voters,44.869296,50.902339,2022/12/27 9:15
Joe Biden,All polls,43.160592,51.510545,2022/12/27 9:14
Joe Biden,Adults,41.646431,51.475027,2022/12/27 9:15
Joe Biden,Voters,44.79864,50.988959,2022/12/27 9:15
Joe Biden,All polls,43.160592,51.510545,2022/12/27 9:14
Joe Biden,Adults,41.646431,51.475027,2022/12/27 9:15
Joe Biden,Voters,44.79864,50.988959,2022/12/27 9:16
Joe Biden,All polls,43.160592,51.510545,2022/12/24 10:37
Joe Biden,Adults,41.646431,51.475027,2022/12/24 10:38
Joe Biden,Voters,44.79864,50.988959,2022/12/24 10:38
Joe Biden,All polls,43.046569,51.587036,2022/12/24 10:38
Joe Biden,Adults,41.646431,51.475027,2022/12/24 10:38
Joe Biden,Voters,44.693017,51.052142,2022/12/24 10:39
Joe Biden,All polls,43.046569,51.587036,2022/12/22 9:28
Joe Biden,Adults,41.646431,51.475027,2022/12/22 9:28
Joe Biden,Voters,44.693017,51.052142,2022/12/22 9:29
Joe Biden,All polls,43.118161,51.495571,2022/12/21 13:06
Joe Biden,Adults,41.74141,51.143546,2022/12/21 13:06
Joe Biden,Voters,44.697178,51.129953,2022/12/21 13:07
Joe Biden,All polls,43.058987,51.448671,2022/12/20 9:30
Joe Biden,Adults,41.297366,50.968655,2022/12/20 9:30
Joe Biden,Voters,44.453298,51.227341,2022/12/20 9:31
Joe Biden,All polls,42.982524,51.553099,2022/12/19 12:52
Joe Biden,Adults,41.297366,50.968655,2022/12/19 12:52
Joe Biden,Voters,44.361548,51.353404,2022/12/19 12:53
Joe Biden,All polls,42.848513,51.766965,2022/12/19 8:37
Joe Biden,Adults,41.297366,50.968655,2022/12/19 8:38
Joe Biden,Voters,44.198206,51.623179,2022/12/19 8:38
Joe Biden,All polls,42.848513,51.766965,2022/12/19 8:37
Joe Biden,Adults,41.297366,50.968655,2022/12/19 8:38
Joe Biden,Voters,44.198206,51.623179,2022/12/19 8:39
Joe Biden,All polls,42.858888,51.761777,2022/12/16 21:10
Joe Biden,Adults,41.297366,50.968655,2022/12/16 21:10
Joe Biden,Voters,44.210838,51.616863,2022/12/16 21:11
Joe Biden,All polls,43.009763,51.333575,2022/12/15 15:43
Joe Biden,Adults,41.297366,50.968655,2022/12/15 15:43
Joe Biden,Voters,44.994852,50.732561,2022/12/15 15:44
Joe Biden,All polls,42.787949,51.700474,2022/12/14 18:43
Joe Biden,Adults,41.186186,51.39473,2022/12/14 18:43
Joe Biden,Voters,44.672343,51.249019,2022/12/14 18:44
Joe Biden,All polls,42.032055,52.668051,2022/12/13 16:33
Joe Biden,Adults,40.52997,53.154998,2022/12/13 16:34
Joe Biden,Voters,43.904224,52.308891,2022/12/13 16:34
Joe Biden,All polls,42.260657,52.414769,2022/12/12 10:46
Joe Biden,Adults,40.704224,52.923783,2022/12/12 10:46
Joe Biden,Voters,43.982474,52.248255,2022/12/12 10:47
Joe Biden,All polls,42.450459,52.42124,2022/12/12 8:46
Joe Biden,Adults,40.971707,52.920766,2022/12/12 8:47
Joe Biden,Voters,43.927787,52.372874,2022/12/12 8:48
Joe Biden,All polls,42.450459,52.42124,2022/12/12 8:47
Joe Biden,Adults,40.971707,52.920766,2022/12/12 8:47
Joe Biden,Voters,43.927787,52.372874,2022/12/12 8:48
Joe Biden,All polls,42.450459,52.42124,2022/12/9 14:17
Joe Biden,Adults,40.971707,52.920766,2022/12/9 14:17
Joe Biden,Voters,43.927787,52.372874,2022/12/9 14:18
Joe Biden,All polls,42.071548,52.620092,2022/12/8 9:46
Joe Biden,Adults,40.47921,52.994335,2022/12/8 9:46
Joe Biden,Voters,43.383357,52.778732,2022/12/8 9:47
Joe Biden,All polls,41.854984,52.751455,2022/12/7 15:38
Joe Biden,Adults,40.460873,52.868676,2022/12/7 15:38
Joe Biden,Voters,42.920582,53.029553,2022/12/7 15:39
Joe Biden,All polls,41.667488,52.953665,2022/12/6 17:17
Joe Biden,Adults,40.379435,52.81842,2022/12/6 17:17
Joe Biden,Voters,42.860334,52.969394,2022/12/6 17:18
Joe Biden,All polls,41.566417,53.120394,2022/12/5 10:58
Joe Biden,Adults,40.279473,52.965072,2022/12/5 10:58
Joe Biden,Voters,42.773013,53.070219,2022/12/5 10:59
Joe Biden,All polls,41.522925,53.139896,2022/12/5 8:30
Joe Biden,Adults,40.279473,52.965072,2022/12/5 8:31
Joe Biden,Voters,42.765385,53.073409,2022/12/5 8:31
Joe Biden,All polls,41.522925,53.139896,2022/12/5 8:30
Joe Biden,Adults,40.279473,52.965072,2022/12/5 8:31
Joe Biden,Voters,42.765385,53.073409,2022/12/5 8:32
Joe Biden,All polls,41.522925,53.139896,2022/12/2 16:51
Joe Biden,Adults,40.279473,52.965072,2022/12/2 16:51
Joe Biden,Voters,42.765385,53.073409,2022/12/2 16:52
Joe Biden,All polls,41.43186,53.158219,2022/12/1 9:52
Joe Biden,Adults,40.279473,52.965072,2022/12/1 9:52
Joe Biden,Voters,42.690081,53.135565,2022/12/1 9:53
Joe Biden,All polls,41.36487,53.108,2022/11/30 13:48
Joe Biden,Adults,40.093953,52.962785,2022/11/30 13:48
Joe Biden,Voters,42.376009,53.294755,2022/11/30 13:49
Joe Biden,All polls,41.435782,53.358037,2022/11/29 17:44
Joe Biden,Adults,40.320596,53.275017,2022/11/29 17:44
Joe Biden,Voters,42.275062,53.239133,2022/11/29 17:45
Joe Biden,All polls,41.576885,53.117791,2022/11/28 13:32
Joe Biden,Adults,40.382416,53.071271,2022/11/28 13:33
Joe Biden,Voters,42.316197,53.170579,2022/11/28 13:33
Joe Biden,All polls,41.39608,53.217312,2022/11/27 12:24
Joe Biden,Adults,40.374436,53.069848,2022/11/27 12:26
Joe Biden,Voters,42.161251,53.256684,2022/11/27 12:27
Joe Biden,All polls,41.797215,52.899837,2022/11/27 12:25
Joe Biden,Adults,40.993601,52.557965,2022/11/27 12:26
Joe Biden,Voters,42.161251,53.256684,2022/11/27 12:27
Joe Biden,All polls,41.797215,52.899837,2022/11/27 12:25
Joe Biden,Adults,40.993601,52.557965,2022/11/27 12:26
Joe Biden,Voters,42.161251,53.256684,2022/11/27 12:27
